,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ART ROSS TROPHY,,,,RICHARD TROPHY,,,,NORRIS TROPHY,,,,BOURQUE TROPHY,,,,LANGWAY TROPHY,,,,CALDER TROPHY,,,,SELKE TROPHY,,
Season's Leading Scorer,,,,Season's Goal Scoring Leader,,,,Season's Best Defenseman,,,,Season's Goal Scoring Leader - Defensemen,,,,Season's Best Defensive Defenseman,,,,Season's Rookie of the Year,,,,Season's Best Defensive Forward,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1989-90,,Pat LaFontaine,,1989-90,,Bernie Nicholls,,1989-90,,Paul Coffey,,1989-90,,Paul Coffey,,1989-90,,Ray Bourque,,1989-90,,Mike Modano,,1989-90,,Gaetan Duchesne
1990-91,,Joe Sakic,,1990-91,,Wayne Gretzky,,1990-91,,Brian Leetch,,1990-91,,Kevin Hatcher,,1990-91,,Ray Bourque,,1990-91,,Alexei Zhamnov,,1990-91,,Craig MacTavish
1991-92,,Wayne Gretzky,,1991-92,,Wayne Gretzky,,1991-92,,Brian Leetch,,1991-92,,Paul Coffey,,1991-92,,Ray Bourque,,1991-92,,Eric Lindros,,1991-92,,Guy Carbonneau
1992-93,,Joe Nieuwendyk,,1992-93,,Teemu Selanne,,1992-93,,Al MacInnis,,1992-93,,Brian Leetch,,1992-93,,Ray Bourque,,1992-93,,Alexei Yashin,,1992-93,,Kelly Miller
1993-94,,Luc Robitaille,,1993-94,,Luc Robitaille,,1993-94,,James Patrick,,1993-94,,Per Djoos,,1993-94,,Frederik Olausson,,1993-94,,Paul Kariya,,1993-94,,Paul Ranheim
1994-95,,Mario Lemieux,,1994-95,,Doug Gilmour,,1994-95,,Doug Bodger,,1994-95,,Brian Leetch,,1994-95,,Bobby Dollas,,1994-95,,Viktor Kozlov,,1994-95,,Yanic Perreault
1995-96,,Wayne Gretzky,,1995-96,,Alexander Mogilny,,1995-96,,Nicklas Lidstrom,,1995-96,,Jiri Slegr,,1995-96,,Chris Chelios,,1995-96,,Ryan Smyth,,1995-96,,Craig Johnson
1996-97,,Joe Sakic,,1996-97,,Joe Sakic,,1996-97,,Brian Leetch,,1996-97,,Al MacInnis,,1996-97,,Rob Blake,,1996-97,,Petr Sykora,,1996-97,,Craig Johnson
1997-98,,Wayne Gretzky,,1997-98,,Wayne Gretzky,,1997-98,,Mathieu Schneider,,1997-98,,Steve Duchesne,,1997-98,,Luke Richardson,,1997-98,,Pavel Datsyuk,,1997-98,,Kevyn Adams
,,,,,,,,,,,,(Tie),,Mathieu Schneider,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
VEZINA TROPHY,,,,LADY BYNG TROPHY,,,,CONN SMYTHE TROPHY,,,,HART TROPHY,,,,JACK ADAMS TROPHY,,,,WILLIAM JENNINGS  TROPHY,,,,TED LINDSAY  TROPHY,,
Season's Best Goaltender,,,,Season's Most Gentlemanly Player,,,,Season's Most Valuable Player - Playoffs,,,,Season's Most Valuable Player,,,,Season's Coach of the Year,,,,Season's Best Goaltending Tandem,,,,Player's MVP Award,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player
1989-90,,Patrick Roy,,1989-90,,Andy Brickley,,1989-90,,Brian Leetch,,1989-90,,Paul Coffey,,1989-90,,Tidus Mino,,1989-90,,Jacques Cloutier/Dan Berthiaume,,1989-90,,Pat LaFontaine
1990-91,,Ron Hextall,,1990-91,,Adam Oates,,1990-91,,Brian Leetch,,1990-91,,Joe Sakic,,1990-91,,Mike Keenan,,1990-91,,Ron Hextall/Alain Chevrier,,1990-91,,Joe Sakic
1991-92,,Grant Fuhr,,1991-92,,Ron Francis,,1991-92,,Wayne Gretzky,,1991-92,,Wayne Gretzky,,1991-92,,Skyvendrake,,1991-92,,Ron Hextall/Rick Wamsley,,1991-92,,Wayne Gretzky
1992-93,,Jimmy Waite,,1992-93,,Pelle Eklund,,1992-93,,Teemu Selanne,,1992-93,,Wayne Gretzky,,1992-93,,Glen Sather,,1992-93,,Ron Hextall/Rick Wamsley,,1992-93,,Wayne Gretzky
1993-94,,Ron Hextall,,1993-94,,Pierre Turgeon,,1993-94,,Petr Nedved,,1993-94,,Luc Robitaille,,1993-94,,Random Wombat,,1993-94,,Ron Hextall/Rick Wamsley,,1993-94,,Luc Robitaille
1994-95,,Rick Tabaracci,,1994-95,,Alexei Yashin,,1994-95,,Alexander Mogilny,,1994-95,,Mario Lemieux,,1994-95,,Glen Sather,,1994-95,,Ron Hextall/Jim Carey,,1994-95,,Mario Lemieux
1995-96,,Trevor Kidd,,1995-96,,Viktor Kozlov,,1995-96,,Pierre Turgeon,,1995-96,,Wayne Gretzky,,1995-96,,Random Wombat,,1995-96,,Trevor Kidd/Darren Puppa,,1995-96,,Wayne Gretzky
1996-97,,Mike Vernon,,1996-97,,Andrew Brunette,,1996-97,,Brian Leetch,,1996-97,,Joe Sakic,,1996-97,,Pat Quinn,,1996-97,,Trevor Kidd/Darren Puppa,,1996-97,,Joe Sakic
1997-98,,Dominik Hasek,,1997-98,,Sergei Berezin,,1997-98,,Brian Leetch,,1997-98,,Wayne Gretzky,,1997-98,,Lou Lamouriello,,1997-98,,Trevor Kidd/Dwayne Roloson,,1997-98,,Wayne Gretzky
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTERTON TROPHY,,,,BOILEDEGG'S TROPHY,,,,PRINCE OF WALES TROPHY,,,,CLARENCE CAMPBELL TROPHY,,,,BOWL CUP TROPHY,,,,JIM GREGORY TROPHY,,,,MARK MESSIER LEADERSHIP AWARD,,
"Best Examplifies Perservance,
Sportsmanship and Dedication to Hockey",,,,Season's Team with Most Points,,,,Season's Winner of the East Conference,,,,Season's Winner of the West Conference,,,,Season's League Championship,,,,General Manager of the Year,,,,Leadership Award,,
Season,Team,POS-Player,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,Team Name,,Season,Team,POS-Player
1989-90,,John Tonelli,,1989-90,,Hartford Whalers,,1989-90,,Hartford Whalers,,1989-90,,Los Angeles Kings,,1989-90,,Hartford Whalers,,1989-90,,Tidus Mino,,1989-90,,Keith Acton
1990-91,,Ken Daneyko,,1990-91,,Hartford Whalers,,1990-91,,Hartford Whalers,,1990-91,,Winnipeg Jets,,1990-91,,Hartford Whalers,,1990-91,,$enpai,,1990-91,,Jaromir Jagr
1991-92,,Bobby Smith,,1991-92,,Hartford Whalers,,1991-92,,NY Islanders,,1991-92,,Winnipeg Jets,,1991-92,,NY Islanders,,1991-92,,Skyvendrake,,1991-92,,Jozef Stumpel
1992-93,,Kevin Lowe,,1992-93,,Montreal Canadiens,,1992-93,,Boston Bruins,,1992-93,,St-Louis Blues,,1992-93,,St-Louis Blues,,1992-93,,Skyvendrake,,1992-93,,Greg Adams
1993-94,,Mark Messier,,1993-94,,Winnipeg Jets,,1993-94,,NY Islanders,,1993-94,,Winnipeg Jets,,1993-94,,Winnipeg Jets,,1993-94,,Stlrs95,,1993-94,,Robert Petrovicky
1994-95,,Mario Lemieux,,1994-95,,NY Islanders,,1994-95,,Boston Bruins,,1994-95,,Toronto Maple Leafs,,1994-95,,Toronto Maple Leafs,,1994-95,,Wardo,,1994-95,,Tommy Albelin
1995-96,,Kevin Stevens,,1995-96,,Boston Bruins,,1995-96,,New York Rangers,,1995-96,,Toronto Maple Leafs,,1995-96,,New York Rangers,,1995-96,,Oliver,,1995-96,,Daniel Alfredsson
1996-97,,Randy Cunneyworth,,1996-97,,New York Rangers,,1996-97,,NY Islanders,,1996-97,,Toronto Maple Leafs,,1996-97,,NY Islanders,,1996-97,,Randy,,1996-97,,Tony Amonte
1997-98,,Pat Verbeek,,1997-98,,NY Islanders,,1997-98,,NY Islanders,,1997-98,,Toronto Maple Leafs,,1997-98,,NY Islanders,,1997-98,,Min,,1997-98,,Petteri Nummelin
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGER CROZIER SAVING GRACE TROPHY,,,,PLUS/MINUS TROPHY,,,,THE MASTERS' GREEN JACKET,,,,BOWL RISING STAR,,,,,,,,,,,,,,
Season's Best Save Percentage,,,,Best Plus/Minus Award,,,,Worst Plus/Minus Award,,,,Prospect of the Year,,,,,,,,,,,,,,
Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,Season,Team,POS-Player,,,,,,,,,,,,
1989-90,,Patrick Roy,,1989-90,,Larry Murphy,,1989-90,,Yves Racine (-58),,1989-90,,Adam Foote,,,,,,,,,,,,
1990-91,,Craig Billington,,1990-91,,Craig Ludwing,,1990-91,,Greg Gilbert (-59),,1990-91,,Jaromir Jagr,,,,,,,,,,,,
1991-92,,Criag Billington,,1991-92,,Jamie Macoun,,1991-92,,Sylvain Cote (-53),,1991-92,,Eric Lindros,,,,,,,,,,,,
1992-93,,Grant Fuhr,,1992-93,,Russ Courtnall,,1992-93,,Ken Klee (-103),,1992-93,,Michael Peca,,,,,,,,,,,,
1993-94,,Ron Hextall,,1993-94,,Luc Robitaille,,1993-94,,Dan Lambert (-75),,1993-94,,Todd Bertuzzi,,,,,,,,,,,,
1994-95,,Roman Cechmanek,,1994-95,,Teemu Selanne,,1994-95,,Darren McCarty (-50),,1994-95,,Ed Jovanovski,,,,,,,,,,,,
1995-96,,Jim Carey,,1995-96,,Mario Lemieux,,(tie),,Ed Jovanovski (-50),,1995-96,,Bryan Berard,,,,,,,,,,,,
1996-97,,Patrick Lalime,,1996-97,,Mario Lemieux,,1995-96,,Calle Johansson (-61),,1996-97,,Tomas Kaberle,,,,,,,,,,,,
1997-98,,Felix Potvin,,1997-98,,Ulf Samuelsson,,1996-97,,Alexander Smirnov (-51),,1997-98,,Patrick Marleau,,,,,,,,,,,,
,,,,,,,,1997-98,,Travis Green (-47),,,,,,,,,,,,,,,,