Year,Team ID,Team Name Override,Conference ID,Conference Override,Division ID,Division Override,Logo File Override,GP,W,L,T (OTL),PTS,GF,GA,Goal Differential,Result,PIM/G,PPG,PPG Against,PP Ch,SHG,SHG Against,SHC,PP%,PK%,Shots For,Shots Against
1979-80,8,,0,,0,,,80,48,21,11,107,351,226,125,Lost Conference Finals,14.51,54,51,311,8,7,336,17.4,84.8,2519,2092
1979-80,25,,0,,0,,,80,31,31,18,80,212,239,-27,Lost Conference Semi-Finals,15.7,42,44,322,9,8,288,13,84.7,2404,2036
1979-80,23,,0,,0,,,80,28,36,16,72,221,244,-23,Missed Playoffs,14.97,41,49,332,14,12,309,12.3,84.1,2144,1940
1979-80,5,,0,,0,,,80,30,39,11,71,208,239,-31,Missed Playoffs,15.53,50,42,334,17,13,317,15,86.8,2036,2008
1979-80,15,,0,,0,,,80,24,40,16,64,208,248,-42,Missed Playoffs,20.4,43,49,425,6,15,358,10.1,86.3,2156,2406
1979-80,3,,0,,0,,,80,24,43,13,61,205,263,-58,Missed Playoffs,13.21,46,25,301,19,10,305,15.3,91.8,1941,2314
1979-80,0,,0,,1,,,80,47,23,10,104,314,246,68,Lost Conference Quarter-Finals,16.39,53,46,297,10,9,301,17.8,84.7,2329,2211
1979-80,24,,0,,1,,,80,42,25,13,97,297,228,69,Lost Cup Finals,15.7,48,32,333,14,11,289,14.4,88.9,2404,2036
1979-80,12,,0,,1,,,80,42,27,11,95,274,236,38,Lost Conference Semi-Finals,17,45,44,282,10,9,295,16,85.1,2448,2114
1979-80,11,,0,,1,,,80,36,35,9,81,296,296,0,Lost Conference Semi-Finals,16.99,46,47,271,7,6,318,17,85.2,2223,2407
1979-80,278,,0,,1,,,80,35,38,7,77,209,236,-27,Lost Conference Quarter-Finals,15.72,32,42,290,15,11,304,11,86.2,2057,1900
1979-80,9,,0,,1,,,80,21,50,9,51,236,325,-89,Missed Playoffs,16.05,45,59,288,8,13,302,15.6,80.5,2009,2502
1979-80,14,,1,,0,,,80,44,26,10,98,245,207,38,Lost Conference Quarter-Finals,16.75,46,34,312,18,7,339,14.7,90,2169,1955
1979-80,20,,1,,0,,,80,43,29,8,94,379,285,94,Lost Conference Semi-Finals,15.4,41,37,270,15,6,316,15.2,88.3,2835,2415
1979-80,279,,1,,0,,,80,41,31,8,90,323,265,58,Lost Conference Quarter-Finals,14.14,69,49,322,11,8,310,21.4,84.2,2572,2288
1979-80,280,,1,,0,,,80,38,35,7,83,323,330,-7,Lost Conference Quarter-Finals,15.16,48,62,309,7,15,330,15.5,81.2,2478,2850
1979-80,22,,1,,0,,,80,36,33,11,83,287,282,5,Lost Conference Quarter-Finals,17.69,54,40,304,17,22,299,17.8,86.6,2221,2593
1979-80,17,,1,,0,,,80,9,65,6,24,139,370,-231,Missed Playoffs,15.16,24,55,262,8,14,293,9.2,81.2,1439,2554
1979-80,18,,1,,1,,,80,51,16,13,115,389,239,150,BOWL CUP CHAMPION,16.05,50,51,296,3,10,305,16.9,83.3,2968,2154
1979-80,21,,1,,1,,,80,46,25,9,101,324,231,93,Lost Conference Finals,18.32,47,31,299,19,7,303,15.7,89.8,2570,2238
1979-80,16,,1,,1,,,80,36,35,9,81,303,291,12,Lost Conference Quarter-Finals,14.69,54,47,323,16,12,264,16.7,82.2,2417,2316
1979-80,26,,1,,1,,,80,32,40,8,72,271,302,-31,Lost Conference Quarter-Finals,17.01,47,48,329,13,15,328,14.3,85.4,2484,2517
1979-80,19,,1,,1,,,80,28,43,9,65,217,289,-72,Missed Playoffs,19.7,39,57,333,13,18,332,11.7,82.8,2100,2162
1979-80,10,,1,,1,,,80,22,48,10,54,167,279,-112,Missed Playoffs,18.5,23,45,298,11,18,302,7.7,85.1,1766,2310
1980-81,24,,0,,0,,,80,49,21,10,108,333,214,119,Lost Conference Finals,14.41,62,51,323,9,11,320,19.2,84.1,2516,2033
1980-81,8,,0,,0,,,80,50,23,7,107,407,298,109,Lost Conference Semi-Finals,17.66,71,85,373,8,19,409,19,79.2,2624,2385
1980-81,21,,0,,0,,,80,36,36,8,80,293,321,-28,Lost Conference Quarter-Finals,20.82,64,60,342,25,7,405,18.7,85.2,2571,2522
1980-81,5,,0,,0,,,80,29,38,13,71,235,271,-36,Missed Playoffs,18.63,54,61,390,25,14,390,13.8,84.8,2092,2116
1980-81,16,,0,,0,,,80,27,42,11,65,266,321,-55,Missed Playoffs,15.74,83,64,429,16,16,355,19.3,82,2557,2403
1980-81,25,,0,,0,,,80,19,47,14,52,235,367,-132,Missed Playoffs,19.09,56,77,394,6,14,345,14.2,77.7,2042,2567
1980-81,0,,0,,1,,,80,46,29,5,97,384,303,81,Lost Conference Finals,20.25,77,57,391,30,18,432,19.7,86.8,2757,2414
1980-81,20,,0,,1,,,80,42,31,7,91,406,335,71,Lost Conference Semi-Finals,18.75,52,63,330,14,9,367,15.8,82.8,2893,2492
1980-81,3,,0,,1,,,80,34,33,13,81,305,313,-8,Lost Conference Quarter-Finals,16.07,90,41,369,16,17,336,24.4,87.8,2149,2452
1980-81,11,,0,,1,,,80,29,33,18,76,300,325,-25,Lost Conference Quarter-Finals,21.65,61,71,373,5,16,375,16.4,81.1,2270,2693
1980-81,23,,0,,1,,,80,30,39,11,71,260,291,-31,Lost Conference Quarter-Finals,19.1,57,61,377,16,17,361,15.1,83.1,2200,2126
1980-81,278,,0,,1,,,80,25,47,8,58,220,279,-58,Missed Playoffs,17.13,52,48,391,15,11,343,13.3,86,2179,2087
1980-81,15,,1,,0,,,80,54,19,7,115,358,243,115,Lost Conference Semi-Finals,17.81,77,64,419,9,21,394,18.4,83.8,2522,2141
1980-81,14,,1,,0,,,80,41,25,14,96,299,238,61,Lost Cup Finals,18.79,57,45,365,33,7,376,15.6,88,2260,2012
1980-81,12,,1,,0,,,80,41,31,8,90,300,263,37,Lost Conference Semi-Finals,14.94,52,55,329,7,14,297,15.8,81.5,2458,2146
1980-81,279,,1,,0,,,80,34,33,13,81,327,317,10,Lost Conference Quarter-Finals,17,80,56,365,13,18,330,21.9,83,2696,2264
1980-81,280,,1,,0,,,80,32,41,7,71,369,400,-31,Lost Conference Quarter-Finals,17.74,48,71,327,6,15,378,14.7,81.2,2468,2864
1980-81,19,,1,,0,,,80,24,42,14,62,245,310,-65,Missed Playoffs,23.45,57,71,369,21,14,431,15.4,83.5,2067,2375
1980-81,18,,1,,1,,,80,59,12,9,127,434,217,217,BOWL CUP CHAMPION,15.65,64,45,369,14,9,320,17.3,85.9,2784,2069
1980-81,10,,1,,1,,,80,35,33,12,82,288,313,-25,Lost Conference Quarter-Finals,17.24,53,51,326,17,16,340,16.3,85,2338,2362
1980-81,26,,1,,1,,,80,32,37,11,75,271,296,-25,Lost Conference Quarter-Finals,18.13,39,69,294,10,9,344,13.3,79.9,1958,2450
1980-81,9,,1,,1,,,80,29,42,9,67,277,309,-32,Missed Playoffs,19.25,55,57,348,7,4,356,15.8,84,2145,2525
1980-81,22,,1,,1,,,80,24,50,6,54,268,370,-102,Missed Playoffs,20.99,67,76,399,15,16,414,16.8,81.6,2388,2709
1980-81,17,,1,,1,,,80,16,53,11,43,212,379,-167,Missed Playoffs,19.02,44,70,390,14,16,364,11.3,80.8,1949,2676
1981-82,14,,0,,0,,,80,58,18,4,120,407,220,187,Lost Conference Semi-Finals,17.89,70,44,332,13,7,326,21.1,86.5,2411,1977
1981-82,24,,0,,0,,,80,54,17,9,117,361,233,128,Lost Cup Finals,16.31,71,53,348,14,7,318,20.4,83.3,2756,1944
1981-82,8,,0,,0,,,80,49,23,8,106,410,294,116,Lost Conference Quarter-Finals,16.27,79,53,361,7,7,348,21.9,84.8,2563,2485
1981-82,20,,0,,0,,,80,35,30,15,85,390,367,23,Lost Conference Quarter-Finals,17.77,71,61,317,13,22,315,22.4,80.6,2780,2729
1981-82,10,,0,,0,,,80,31,32,17,79,299,342,-43,Missed Playoffs,18.15,66,65,362,10,17,350,18.2,81.4,2549,2617
1981-82,23,,0,,0,,,80,21,54,5,47,216,351,-135,Missed Playoffs,18.73,43,68,306,20,11,345,14.1,80.3,2028,2362
1981-82,278,,0,,1,,,80,39,24,17,95,326,286,40,Lost Conference Quarter-Finals,17.86,52,69,300,15,13,342,18.8,82.3,2382,2268
1981-82,0,,0,,1,,,80,39,30,11,89,367,311,56,Lost Conference Semi-Finals,18.02,55,48,322,25,9,340,17.1,85.9,2829,2303
1981-82,11,,0,,1,,,80,33,30,17,83,351,335,16,Lost Conference Quarter-Finals,18.1,57,58,329,12,22,313,17.3,81.5,2569,2369
1981-82,22,,0,,1,,,80,32,43,5,69,311,369,-58,Lost Conference Finals,19.26,56,69,354,22,18,355,15.8,80.6,2401,2621
1981-82,17,,0,,1,,,80,26,43,11,63,373,452,-79,Missed Playoffs,18.94,65,69,355,6,26,331,18.3,79.2,2769,3156
1981-82,16,,0,,1,,,80,16,50,14,46,268,374,-106,Missed Playoffs,17.15,79,81,396,11,15,332,19.9,75.6,2515,2678
1981-82,15,,1,,0,,,80,56,18,6,118,384,238,146,Lost Conference Finals,17.81,68,53,293,9,11,308,23.2,82.8,2512,2054
1981-82,12,,1,,0,,,80,40,34,6,86,314,279,35,Lost Conference Semi-Finals,17.81,65,57,304,12,3,317,21.4,82,2566,2255
1981-82,5,,1,,0,,,80,29,42,9,67,243,295,-52,Lost Conference Quarter-Finals,16.3,60,52,347,10,10,315,17.3,83.5,2114,2113
1981-82,279,,1,,0,,,80,28,42,10,66,299,344,-45,Lost Conference Quarter-Finals,16.98,52,69,300,15,13,342,17.3,79.8,2349,2585
1981-82,280,,1,,0,,,80,26,40,14,66,323,387,-64,Missed Playoffs,17.35,56,82,280,5,12,331,20,75.2,2245,2644
1981-82,26,,1,,0,,,80,17,54,9,43,213,357,-144,Missed Playoffs,17.06,33,73,296,4,14,291,11.1,74.9,1838,2430
1981-82,18,,1,,1,,,80,52,20,8,112,421,280,141,BOWL CUP CHAMPION,16.15,65,57,328,19,8,290,19.8,80.3,2832,2125
1981-82,21,,1,,1,,,80,35,35,10,80,349,336,13,Lost Conference Semi-Finals,24.19,72,62,354,17,15,372,20.3,83.3,2733,2578
1981-82,25,,1,,1,,,80,36,37,7,79,317,338,-21,Lost Conference Quarter-Finals,18.35,58,66,313,8,15,328,18.5,79.9,2176,2621
1981-82,3,,1,,1,,,80,34,37,9,77,312,326,-14,Lost Conference Quarter-Finals,19.09,83,52,340,20,11,342,24.4,84.8,2409,2395
1981-82,9,,1,,1,,,80,36,42,2,74,320,357,-37,Missed Playoffs,20.81,53,63,338,9,9,346,15.7,81.8,2214,2574
1981-82,19,,1,,1,,,80,20,47,13,53,255,358,-103,Missed Playoffs,23.11,59,77,382,11,12,389,15.4,80.2,2170,2627
1982-83,14,,0,,0,,,80,56,13,11,123,374,205,169,Lost Conference Semi-Finals,15.14,58,45,308,14,7,300,18.8,85,2504,1836
1982-83,17,,0,,0,,,80,46,24,10,102,401,310,91,Lost Conference Quarter-Finals,15.14,69,42,323,5,12,278,21.4,84.9,2764,2325
1982-83,20,,0,,0,,,80,47,27,6,100,393,312,81,BOWL CUP CHAMPION,16.94,66,47,294,11,16,272,22.4,82.7,2804,2497
1982-83,21,,0,,0,,,80,41,27,12,94,373,322,51,Lost Conference Quarter-Finals,20.69,71,68,346,20,13,384,20.5,82.3,2867,2567
1982-83,5,,0,,0,,,80,34,35,11,79,239,272,-33,Missed Playoffs,16.96,52,43,333,13,15,336,15.6,87.2,2159,2001
1982-83,26,,0,,0,,,80,12,61,7,31,222,430,-208,Missed Playoffs,15.59,37,72,297,7,12,289,12.5,75.1,1815,2806
1982-83,24,,0,,1,,,80,52,19,9,113,411,239,172,Lost Conference Quarter-Finals,16.2,67,41,298,16,11,321,22.5,87.2,2772,2065
1982-83,278,,0,,1,,,80,40,25,15,95,328,282,46,Lost Conference Quarter-Finals,15.13,48,52,261,12,13,269,18.4,80.7,2208,2316
1982-83,3,,0,,1,,,80,33,34,13,79,321,345,-24,Lost Conference Quarter-Finals,17.27,69,38,317,19,7,292,21.8,87,2520,2324
1982-83,10,,0,,1,,,80,33,37,10,76,285,302,-17,Lost Conference Finals,17.31,49,44,330,10,12,315,14.8,86,2314,2342
1982-83,23,,0,,1,,,80,21,51,8,50,212,318,-106,Missed Playoffs,16.2,28,47,333,15,14,297,8.4,84.2,1882,2296
1982-83,19,,0,,1,,,80,12,59,9,33,230,400,-170,Missed Playoffs,21.54,46,68,337,8,12,390,13.6,82.6,2104,2882
1982-83,15,,1,,0,,,80,52,22,6,110,384,253,131,Lost Conference Quarter-Finals,15.32,56,62,314,9,10,309,17.8,79.9,2544,2070
1982-83,9,,1,,0,,,80,35,33,12,82,363,329,34,Lost Conference Semi-Finals,17.39,64,59,302,2,5,300,21.2,80.3,2259,2494
1982-83,0,,1,,0,,,80,35,36,9,79,316,326,-10,Lost Conference Quarter-Finals,15.43,40,66,288,19,12,305,13.9,78.4,2502,2354
1982-83,12,,1,,0,,,80,32,36,12,76,264,299,-35,Lost Conference Finals,17.51,38,45,279,14,4,292,13.6,84.6,2219,2265
1982-83,22,,1,,0,,,80,33,38,9,75,340,341,-1,Missed Playoffs,14.91,52,56,319,13,10,321,16.3,82.6,2705,2667
1982-83,279,,1,,0,,,80,30,38,12,72,287,309,-22,Missed Playoffs,17.31,55,57,311,14,7,332,17.7,82.8,2599,2502
1982-83,18,,1,,1,,,80,54,18,8,116,386,252,134,Lost Cup Finals,15.32,70,55,350,15,3,306,20,82,2813,2228
1982-83,11,,1,,1,,,80,39,29,12,90,354,321,33,Lost Conference Semi-Finals,15.81,59,57,313,19,10,328,18.8,82.6,2486,2603
1982-83,8,,1,,1,,,80,33,35,12,78,324,358,-34,Lost Conference Quarter-Finals,15.22,60,48,326,8,23,302,18.4,84.1,2429,2556
1982-83,280,,1,,1,,,80,30,46,4,64,291,337,-46,Lost Conference Quarter-Finals,14.39,40,61,299,6,6,281,13.4,78.3,2392,2464
1982-83,25,,1,,1,,,80,26,45,9,61,293,383,-90,Missed Playoffs,17.04,67,77,318,2,17,325,21.1,76.3,2225,2660
1982-83,16,,1,,1,,,80,18,56,6,42,277,423,-146,Missed Playoffs,17,52,60,289,11,17,341,18,82.4,2138,2904
1983-84,14,,0,,0,,,80,59,16,5,123,369,234,135,BOWL CUP CHAMPION,17.94,56,61,326,11,7,335,17.2,81.8,2449,1865
1983-84,12,,0,,0,,,80,49,26,5,103,351,280,71,Lost Conference Quarter-Finals,17.96,73,50,320,12,6,319,22.8,84.3,2632,2160
1983-84,22,,0,,0,,,80,46,28,6,98,347,298,49,Lost Conference Semi-Finals,20.84,76,56,377,17,15,356,20.2,84.3,2638,2602
1983-84,9,,0,,0,,,80,38,36,6,82,362,334,28,Lost Conference Quarter-Finals,19.57,71,69,306,13,8,348,23.2,80.2,2273,2408
1983-84,11,,0,,0,,,80,33,40,7,73,364,375,-11,Missed Playoffs,21.54,70,66,327,7,6,368,21.4,82.1,2266,2585
1983-84,26,,0,,0,,,80,9,64,7,25,229,411,-182,Missed Playoffs,15.32,32,64,291,6,14,271,11,76.4,1959,2749
1983-84,24,,0,,1,,,80,56,20,4,116,417,286,131,Lost Conference Finals,17.09,79,65,337,15,16,347,23.4,81.3,2932,2073
1983-84,10,,0,,1,,,80,50,25,5,105,390,274,116,Lost Conference Quarter-Finals,19.36,97,48,365,16,8,329,26.6,85.4,2642,2155
1983-84,0,,0,,1,,,80,51,27,2,104,366,295,71,Lost Conference Semi-Finals,15.8,80,53,337,13,8,328,23.7,83.8,2396,2429
1983-84,20,,0,,1,,,80,45,34,1,91,384,339,45,Lost Conference Quarter-Finals,18.36,71,57,339,5,19,333,20.9,82.9,2699,2546
1983-84,19,,0,,1,,,80,19,56,5,43,271,426,-155,Missed Playoffs,18.18,56,82,345,11,17,344,16.2,76.2,1991,2831
1983-84,23,,0,,1,,,80,16,61,3,35,200,383,-183,Missed Playoffs,20.56,42,75,353,23,15,371,11.9,79.8,1846,2410
1983-84,17,,1,,0,,,80,49,27,4,102,403,302,101,Lost Conference Semi-Finals,16.74,72,60,336,10,14,295,21.4,79.7,2832,2220
1983-84,15,,1,,0,,,80,40,37,3,83,341,321,20,Lost Conference Finals,15.04,61,65,338,10,8,304,18,78.6,2426,2277
1983-84,279,,1,,0,,,80,39,37,4,82,334,331,3,Lost Conference Quarter-Finals,18.7,57,52,316,25,10,325,18,84,2653,2385
1983-84,5,,1,,0,,,80,29,42,9,67,295,328,-33,Lost Conference Quarter-Finals,19.06,65,61,366,14,15,362,78.8,83.1,2310,2378
1983-84,278,,1,,0,,,80,30,47,3,63,256,348,-92,Missed Playoffs,17.69,44,72,277,12,12,300,15.9,76,2015,2353
1983-84,25,,1,,0,,,80,28,50,2,58,317,373,-56,Missed Playoffs,15.64,58,63,290,5,14,288,20,78.1,2222,2632
1983-84,18,,1,,1,,,80,48,27,5,101,372,284,88,Lost Conference Finals,17.48,64,63,334,22,13,346,19.2,81.8,2619,2320
1983-84,280,,1,,1,,,80,44,33,3,91,371,311,60,Lost Conference Semi-Finals,15.26,48,65,301,9,10,278,15.9,76.6,2638,2245
1983-84,3,,1,,1,,,80,40,35,5,85,339,291,48,Lost Conference Quarter-Finals,17.23,88,52,366,11,5,326,24,84,2507,2343
1983-84,8,,1,,1,,,80,38,38,4,80,368,376,-8,Lost Conference Quarter-Finals,19.15,60,77,326,9,19,354,18.4,78.2,2441,2687
1983-84,21,,1,,1,,,80,24,49,7,55,289,402,-113,Missed Playoffs,19.84,58,84,320,11,20,354,18.1,76.3,2550,2724
1983-84,16,,1,,1,,,80,25,50,5,55,262,395,-133,Missed Playoffs,19.49,52,67,357,12,6,369,14.6,81.8,2053,2612
1984-85,280,,0,,0,,,80,60,16,4,124,435,270,165,Lost Conference Finals,,,,,,,,,,,
1984-85,14,,0,,0,,,80,42,35,3,87,416,331,85,Lost Conference Semi-Finals,,,,,,,,,,,
1984-85,20,,0,,0,,,80,39,40,1,79,335,321,14,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,25,,0,,0,,,80,30,47,3,63,324,386,-62,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,278,,0,,0,,,80,26,49,5,57,217,326,-109,Missed Playoffs,,,,,,,,,,,
1984-85,26,,0,,0,,,80,23,48,9,55,269,385,-116,Missed Playoffs,,,,,,,,,,,
1984-85,279,,0,,1,,,80,53,24,3,109,414,276,138,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,24,,0,,1,,,80,49,22,9,107,373,265,108,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,10,,0,,1,,,80,45,31,4,94,344,297,47,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,3,,0,,1,,,80,44,31,5,93,338,304,34,BOWL CUP CHAMPION,,,,,,,,,,,
1984-85,22,,0,,1,,,80,40,38,2,82,337,326,11,Missed Playoffs,,,,,,,,,,,
1984-85,5,,0,,1,,,80,27,48,5,59,292,390,-98,Missed Playoffs,,,,,,,,,,,
1984-85,17,,1,,0,,,80,55,21,4,114,434,292,142,Lost Conference Finals,,,,,,,,,,,
1984-85,15,,1,,0,,,80,44,30,6,94,318,289,29,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,11,,1,,0,,,80,39,39,2,80,361,345,16,Lost Conference Semi-Finals,,,,,,,,,,,
1984-85,12,,1,,0,,,80,35,40,5,75,296,303,-7,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,19,,1,,0,,,80,26,46,8,60,283,352,-69,Missed Playoffs,,,,,,,,,,,
1984-85,23,,1,,0,,,80,26,50,4,56,281,387,-106,Missed Playoffs,,,,,,,,,,,
1984-85,18,,1,,1,,,80,43,29,8,94,360,276,84,Lost Cup Finals,,,,,,,,,,,
1984-85,9,,1,,1,,,80,40,34,6,86,340,347,-7,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,0,,1,,1,,,80,33,40,7,73,313,337,-24,Lost Conference Semi-Finals,,,,,,,,,,,
1984-85,8,,1,,1,,,80,30,47,3,63,324,408,-84,Lost Conference Quarter-Finals,,,,,,,,,,,
1984-85,16,,1,,1,,,80,25,47,8,58,294,377,-83,Missed Playoffs,,,,,,,,,,,
1984-85,21,,1,,1,,,80,27,49,4,58,298,406,-108,Missed Playoffs,,,,,,,,,,,
